               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  52,            0.028339,             0.12106,           0.0024513,             0.90888,             0.82666,             0.88246,              0.5909,             0.02757,            0.076279,             0.01063,            0.008317,            0.008317,            0.008317
                  53,            0.027993,             0.11088,           0.0022903,             0.92372,             0.85694,              0.9168,             0.60456,            0.027542,            0.070908,           0.0076265,            0.008284,            0.008284,            0.008284
                  54,            0.029083,             0.14071,           0.0027297,             0.85788,              0.7821,             0.89577,              0.6099,            0.025675,            0.069939,             0.02264,            0.008251,            0.008251,            0.008251
                  55,             0.02833,             0.13071,           0.0025767,             0.90704,             0.83658,             0.89101,             0.59971,             0.02494,            0.068901,            0.011997,            0.008218,            0.008218,            0.008218
                  56,            0.028759,             0.12341,           0.0024359,             0.87241,             0.83091,             0.88746,             0.59695,            0.025846,            0.071968,            0.015774,            0.008185,            0.008185,            0.008185
                  57,            0.028656,              0.1414,           0.0027842,             0.87978,             0.82483,             0.89387,              0.5991,            0.026931,            0.074562,            0.011593,            0.008152,            0.008152,            0.008152
                  58,            0.026985,               0.116,           0.0027849,             0.89102,             0.89945,             0.92611,             0.63925,            0.023807,            0.070732,           0.0099068,            0.008119,            0.008119,            0.008119
                  59,             0.02837,             0.11739,           0.0026428,             0.86148,             0.80518,              0.8529,             0.59876,             0.02408,            0.065742,            0.013372,            0.008086,            0.008086,            0.008086
                  60,             0.02885,              0.1501,           0.0029897,             0.91219,             0.87608,             0.91632,             0.64648,             0.02468,            0.072449,           0.0074701,            0.008053,            0.008053,            0.008053
                  61,            0.029483,               0.152,           0.0030078,             0.89687,             0.82684,             0.85799,             0.59836,            0.028085,            0.076141,           0.0081577,             0.00802,             0.00802,             0.00802
